app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,target,income_to_age_ratio,employment_ratio,age_group,income_group
140.0,0.0,1.0,28-Apr-20,1.0,3,19.0,1.0,1,,,,,,,10.0,10.0,,0.378087482,28.35546875,,0.0,,4,4.0,0,0.05,0.5,18-25,very_low
141.0,0.0,1.0,28-Apr-20,0.0,2,22.0,3.0,1,1.0,3450.0,2.0,2.0,25.0,1.0,2.0,11.0,,0.111979454,53.484375,1.0,2.0,3809.0,2,1.0,0,0.0,0.6,18-25,very_low
-153.0,,,28-Apr-20,560.0,0,18.0,,1,,,,,,,0.0,2.0,,0.003489353,53.578125,,0.0,,4,-1.0,1,29.473684210526315,,18-25,very_low
-156.0,,,28-Apr-20,0.0,1,17.0,0.0,1,,,,,,12.0,0.0,37.0,,0.033888234,73.25,,0.0,,4,-1.0,1,0.0,,18-25,very_low
-155.0,,,28-Apr-20,0.0,7,32.0,0.0,3,,,25.0,1.0,165.0,,,,,0.08639102,48.390625,1.0,0.0,0.0,2,1.0,1,0.0,0.0,26-35,very_low
-123.0,,,28-Apr-20,1.0,8,21.0,4.0,1,,2400.0,16.0,2.0,97.0,2.0,1.0,3.0,343.0,0.0,71.40625,1.0,2.0,2388.0,2,0.0,1,0.045454545454545456,1.0,18-25,very_low
-150.0,,,28-Apr-20,0.0,1,23.0,4.0,2,,,,,,,,,,0.106779598,54.7578125,,0.0,,4,-1.0,1,0.0,0.6666666666666666,18-25,very_low
-139.0,,,28-Apr-20,1.0,11,25.0,2.0,2,,,,,,,,,,0.0,43.21875,,0.0,,4,-1.0,1,0.038461538461538464,0.25,18-25,very_low
-133.0,,,28-Apr-20,0.0,13,31.0,1.0,2,,200.0,12.0,3.0,,,,19.0,,0.687744049,20.9296875,3.0,1.0,0.0,0,1.0,1,0.0,0.07142857142857142,26-35,very_low
135.0,1.0,0.0,28-Apr-20,1.0,14,29.0,,2,,,,,,,,,,0.209901922,60.078125,,0.0,,4,-1.0,2,0.03333333333333333,,26-35,very_low
-124.0,,,28-Apr-20,820.0,14,32.0,,2,,1700.0,7.0,1.0,0.0,,,,124.0,0.181158869,,,0.0,0.0,2,3.0,1,24.848484848484848,,26-35,very_low
-142.0,,,28-Apr-20,0.0,6,21.0,1.0,1,2.0,,5.0,2.0,0.0,19.0,3.0,24.0,,0.263958697,43.3046875,3.0,2.0,604.0,2,0.0,1,0.0,0.25,18-25,very_low
