app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
-138,.,.,28-Apr-20,500,SO,18,.,P,1,.,5,.,40,.,.,13,.,0.10262367,26.87109375,1,0,.,5,2,18/02/2035
128,1,0,28-Apr-20,0,FT,22,.,,.,.,.,.,.,.,.,.,.,0.096788399,.,.,0,.,5,-1,18/02/2035
129,0,1,28-Apr-20,0,SO,19,1,P,.,.,.,.,.,16,26,4,.,0,17.1328125,.,0,.,5,-1,18/02/2035
140,0,1,28-Apr-20,1,SC,19,1,P,.,.,.,.,.,.,10,10,.,0.378087482,28.35546875,.,0,.,5,4,18/02/2035
141,0,1,28-Apr-20,0,SB,22,3,P,1,3450,2,2,25,1,2,11,.,0.111979454,53.484375,1,2,3809,3,1,18/02/2035
-153,.,.,28-Apr-20,560,FT,18,.,P,.,.,.,.,.,.,0,2,.,0.003489353,53.578125,.,0,.,5,-1,18/02/2035
-156,.,.,28-Apr-20,0,SA,17,0,P,.,.,.,.,.,12,0,37,.,0.033888234,73.25,.,0,.,5,-1,18/02/2035
-155,.,.,28-Apr-20,0,SG,32,0,,.,.,25,1,165,.,.,.,.,0.08639102,48.390625,1,0,0,3,1,18/02/2035
-123,.,.,28-Apr-20,1,SH,21,4,P,.,2400,16,2,97,2,1,3,343,0,71.40625,1,2,2388,3,0,18/02/2035
-150,.,.,28-Apr-20,0,SA,23,4,R,.,.,.,.,.,.,.,.,.,0.106779598,54.7578125,.,0,.,5,-1,18/02/2035
-139,.,.,28-Apr-20,1,SL,25,2,R,.,.,.,.,.,.,.,.,.,0,43.21875,.,0,.,5,-1,18/02/2035
-133,.,.,28-Apr-20,0,SN,31,1,R,.,200,12,3,.,.,.,19,.,0.687744049,20.9296875,3,1,0,1,1,18/02/2035
135,1,0,28-Apr-20,1,SO,29,.,R,.,.,.,.,.,.,.,.,.,0.209901922,60.078125,.,0,.,5,-1,18/02/2035
-124,.,.,28-Apr-20,820,SO,32,.,R,.,1700,7,1,0,.,.,.,124,0.181158869,.,.,0,0,3,3,18/02/2035
-142,.,.,28-Apr-20,0,SF,21,1,P,2,.,5,2,0,19,3,24,.,0.263958697,43.3046875,3,2,604,3,0,18/02/2035
131,1,0,28-Apr-20,1,SD,18,.,P,.,.,.,.,.,15,2,53,.,0.024618474,55.578125,.,0,.,5,-1,18/02/2035
-145,.,.,28-Apr-20,1,SB,21,0,P,1,500,1,.,50,15,5,7,496,0,63.2265625,2,0,.,5,0,18/02/2035
143,0,1,28-Apr-20,0,SO,23,1,P,.,.,.,.,.,.,.,13,.,0.032595161,40.953125,.,0,.,5,-1,18/02/2035
-130,.,.,28-Apr-20,1,SC,17,0,P,.,.,.,.,.,.,11,.,.,0,60.0546875,.,0,.,5,-1,18/02/2035
151,1,0,28-Apr-20,0,SA,19,0,P,.,150,9,2,.,7,3,23,.,0.098250776,83.9375,1,1,0,3,1,18/02/2035
-148,.,.,28-Apr-20,0,SA,18,0,P,1,.,2,3,.,12,0,59,.,0.063940404,48.0234375,1,2,0,3,-1,18/02/2035
162,1,0,29-Apr-20,1,SB,20,.,P,.,.,.,.,.,15,15,7,.,0.065083901,64.1875,.,0,.,5,-1,19/02/2035
-164,.,.,29-Apr-20,0,SM,31,2,H,.,1450,10,.,0,.,.,1,402,0,83.265625,1,0,.,5,1,19/02/2035
-178,.,.,29-Apr-20,1,SK,18,.,P,.,.,33,1,.,27,0,8,.,0,46.3359375,.,0,0,3,-1,19/02/2035
-193,.,.,29-Apr-20,0,SM,40,1,H,.,39100,10,1,0,.,7,.,3596,0.034630702,48.53125,1,1,1246,3,4,19/02/2035
-165,.,.,29-Apr-20,1,SO,18,0,P,.,.,.,.,.,.,0,.,.,0,82.015625,1,0,.,5,0,19/02/2035
180,1,0,29-Apr-20,0,SC,36,1,H,.,4700,17,.,.,.,1,.,124,0.027851643,80.25,.,0,.,5,-1,19/02/2035
-195,.,.,29-Apr-20,0,SC,20,2,P,.,.,.,.,.,26,2,3,.,0,70.1875,.,0,.,5,-1,19/02/2035
-168,.,.,29-Apr-20,200,SB,18,.,P,.,.,.,.,.,22,0,7,.,0.044353992,31.1640625,1,0,.,5,0,19/02/2035
160,0,1,29-Apr-20,0,SA,30,0,R,.,.,.,.,.,.,.,.,.,0,.,.,0,.,5,-1,19/02/2035
191,0,1,29-Apr-20,2,SC,20,1,P,1,750,2,1,271,1,0,13,0,0.203831313,72.171875,1,0,0,3,0,19/02/2035
179,1,0,29-Apr-20,1,SK,18,0,P,.,.,33,1,.,27,0,10,.,0,46.4296875,.,0,0,3,-1,19/02/2035
-192,.,.,29-Apr-20,0,SO,23,0,P,.,.,.,.,.,0,.,7,.,0,68.234375,.,0,.,5,-1,19/02/2035
188,1,0,29-Apr-20,0,SO,18,.,P,1,100,4,1,.,.,.,.,124,0.092462448,27.51953125,1,0,0,3,1,19/02/2035
-163,.,.,29-Apr-20,0,SA,25,0,R,.,.,10,.,.,.,7,.,.,0.638838325,31.83203125,.,0,.,5,-1,19/02/2035
166,0,1,29-Apr-20,1,SM,21,3,H,1,.,3,1,161,9,.,21,.,0.245395851,59.578125,1,0,.,5,2,19/02/2035
175,1,0,29-Apr-20,0,SO,20,2,P,1,.,5,1,1,0,0,9,.,0.000528448,55.4453125,.,0,0,3,-1,19/02/2035
174,1,0,29-Apr-20,0,SO,17,0,P,.,.,.,.,.,4,.,2,.,0.238042976,56.40625,.,0,.,5,-1,19/02/2035
-190,.,.,29-Apr-20,0,SD,28,0,R,.,500,26,4,75,.,11,.,496,0.043389877,50.015625,.,0,0,3,-1,19/02/2035
186,1,0,29-Apr-20,160,SB,18,.,P,.,.,.,.,.,21,0,32,.,0,76.9375,.,0,.,5,-1,19/02/2035
161,0,1,29-Apr-20,0,SA,30,0,R,.,.,.,.,.,.,.,.,.,0,.,.,0,.,5,-1,19/02/2035
176,1,0,29-Apr-20,100,SN,26,0,,.,500,22,1,0,10,6,5,.,0.089765755,50.25,.,0,0,3,3,19/02/2035
167,1,0,29-Apr-20,0,SL,22,5,P,1,700,1,1,1,23,.,33,1,0.128964513,61.296875,2,1,275,3,1,19/02/2035
-171,.,.,29-Apr-20,0,SO,17,0,P,.,.,.,.,.,24,0,46,.,0.033422705,51.125,.,0,.,5,-1,19/02/2035
-183,.,.,29-Apr-20,0,SA,20,1,R,.,.,23,1,.,.,.,.,.,0.21843369,45.859375,.,0,0,3,-1,19/02/2035
